title,genres
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
Mr. Holland's Opus (1995),Drama
Braveheart (1995),Action|Drama|War
Apollo 13 (1995),Adventure|Drama|IMAX
Rob Roy (1995),Action|Drama|Romance|War
Crimson Tide (1995),Drama|Thriller|War
French Kiss (1995),Action|Comedy|Romance
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
Little Women (1994),Drama
Legends of the Fall (1994),Drama|Romance|War|Western
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
"Shawshank Redemption, The (1994)",Crime|Drama
Tommy Boy (1995),Comedy
Clear and Present Danger (1994),Action|Crime|Drama|Thriller
Forrest Gump (1994),Comedy|Drama|Romance|War
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
"Fugitive, The (1993)",Thriller
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
Much Ado About Nothing (1993),Comedy|Romance
Rudy (1993),Drama
Schindler's List (1993),Drama|War
Shadowlands (1993),Drama|Romance
Tombstone (1993),Action|Drama|Western
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
Terminator 2: Judgment Day (1991),Action|Sci-Fi
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
Fargo (1996),Comedy|Crime|Drama|Thriller
Dragonheart (1996),Action|Adventure|Fantasy
Underground (1995),Comedy|Drama|War
"Rock, The (1996)",Action|Adventure|Thriller
"Godfather, The (1972)",Crime|Drama
Singin' in the Rain (1952),Comedy|Musical|Romance
Breakfast at Tiffany's (1961),Drama|Romance
Casablanca (1942),Drama|Romance
"Maltese Falcon, The (1941)",Film-Noir|Mystery
My Fair Lady (1964),Comedy|Drama|Musical|Romance
"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
"Sound of Music, The (1965)",Musical|Romance
Monty Python's Life of Brian (1979),Comedy
Dirty Dancing (1987),Drama|Musical|Romance
E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
Delicatessen (1991),Comedy|Drama|Romance
"English Patient, The (1996)",Drama|Romance|War
Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
12 Angry Men (1957),Drama
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
Goodfellas (1990),Crime|Drama
Ran (1985),Drama|War
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
Dead Poets Society (1989),Drama
"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
Better Off Dead... (1985),Comedy|Romance
M (1931),Crime|Film-Noir|Thriller
Back to the Future (1985),Adventure|Comedy|Sci-Fi
Fried Green Tomatoes (1991),Comedy|Crime|Drama
Highlander (1986),Action|Adventure|Fantasy
High Noon (1952),Drama|Western
Ben-Hur (1959),Action|Adventure|Drama
Indiana Jones and the Last Crusade (1989),Action|Adventure
Gandhi (1982),Drama
"Killing Fields, The (1984)",Drama|War
Field of Dreams (1989),Children|Drama|Fantasy
Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
Jerry Maguire (1996),Drama|Romance
Beverly Hills Ninja (1997),Action|Comedy
Rosewood (1997),Action|Drama
Donnie Brasco (1997),Crime|Drama
Liar Liar (1997),Comedy
"Devil's Own, The (1997)",Action|Drama|Thriller
"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
Contact (1997),Drama|Sci-Fi
Conan the Barbarian (1982),Action|Adventure|Fantasy
"Hunt for Red October, The (1990)",Action|Adventure|Thriller
Gattaca (1997),Drama|Sci-Fi|Thriller
"Rainmaker, The (1997)",Drama
Witness (1985),Drama|Romance|Thriller
"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
Amistad (1997),Drama|Mystery
Good Will Hunting (1997),Drama|Romance
Tomorrow Never Dies (1997),Action|Adventure|Thriller
"Misérables, Les (1998)",Crime|Drama|Romance|War
Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
There's Something About Mary (1998),Comedy|Romance
Oliver! (1968),Drama|Musical
Chariots of Fire (1981),Drama
"Breakfast Club, The (1985)",Comedy|Drama
Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
Saving Private Ryan (1998),Action|Drama|War
Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery
"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical
Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
"Gods Must Be Crazy, The (1980)",Adventure|Comedy
"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
"Untouchables, The (1987)",Action|Crime|Drama
"Few Good Men, A (1992)",Crime|Drama|Thriller
Rush Hour (1998),Action|Comedy|Crime|Thriller
Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama
"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
Shakespeare in Love (1998),Comedy|Drama|Romance
Romancing the Stone (1984),Action|Adventure|Comedy|Romance
"Karate Kid, Part II, The (1986)",Action|Adventure|Drama
Crocodile Dundee (1986),Adventure|Comedy
Blast from the Past (1999),Comedy|Romance
October Sky (1999),Drama
"Matrix, The (1999)",Action|Sci-Fi|Thriller
Tango (1998),Drama|Musical
"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Adventure|Drama|Mystery
Superman (1978),Action|Adventure|Sci-Fi
Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi
Run Lola Run (Lola rennt) (1998),Action|Crime
Big Daddy (1999),Comedy
Inspector Gadget (1999),Action|Adventure|Children|Comedy
"Mission, The (1986)",Drama
"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
"Sixth Sense, The (1999)",Drama|Horror|Mystery
Big (1988),Comedy|Drama|Fantasy|Romance
Iron Eagle (1986),Action|War
"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy|Romance
American Beauty (1999),Drama|Romance
Ferris Bueller's Day Off (1986),Comedy
Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
"Natural, The (1984)",Drama
Awakenings (1990),Drama|Mystery
Backdraft (1991),Action|Drama
Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
"Cider House Rules, The (1999)",Drama
Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
Hoosiers (a.k.a. Best Shot) (1986),Drama|Romance
"Muppet Movie, The (1979)",Adventure|Children|Comedy|Musical
"Good Morning, Vietnam (1987)",Comedy|Drama|War
Ladyhawke (1985),Adventure|Fantasy|Romance
Frequency (2000),Drama|Thriller
"Idiots, The (Idioterne) (1998)",Comedy|Drama
Gladiator (2000),Action|Adventure|Drama
X-Men (2000),Action|Adventure|Sci-Fi
Highlander: Endgame (Highlander IV) (2000),Action|Adventure|Fantasy
Remember the Titans (2000),Drama
Meet the Parents (2000),Comedy
Requiem for a Dream (2000),Drama
Unbreakable (2000),Drama|Sci-Fi
"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
Finding Forrester (2000),Drama
Cast Away (2000),Drama
"Family Man, The (2000)",Comedy|Drama|Romance
Empire of the Sun (1987),Action|Adventure|Drama|War
In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
"Knight's Tale, A (2001)",Action|Comedy|Romance
Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
Moulin Rouge (2001),Drama|Musical|Romance
"Night, The (Notte, La) (1960)",Drama
Cries and Whispers (Viskningar och rop) (1972),Drama
"Man from Snowy River, The (1982)",Drama|Romance|Western
Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
Chocolat (1988),Drama
"Others, The (2001)",Drama|Horror|Mystery|Thriller
Fiddler on the Roof (1971),Drama|Musical
K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
Ocean's Eleven (2001),Crime|Thriller
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
"Beautiful Mind, A (2001)",Drama|Romance
Black Hawk Down (2001),Action|Drama|War
"Sandlot, The (1993)",Children|Comedy|Drama
Wild Strawberries (Smultronstället) (1957),Drama
"Piano Teacher, The (La pianiste) (2001)",Drama
Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
"Bourne Identity, The (2002)",Action|Mystery|Thriller
Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
"Transporter, The (2002)",Action|Crime
Naqoyqatsi (2002),Documentary
Teddy Bear (Mis) (1981),Comedy|Crime
Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
Talk to Her (Hable con Ella) (2002),Drama|Romance
Hit the Bank (Vabank) (1981),Comedy|Crime
"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
Antwone Fisher (2002),Drama
City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
Shanghai Knights (2003),Action|Adventure|Comedy
Daredevil (2003),Action|Crime
Tears of the Sun (2003),Action|Drama|Thriller
Anger Management (2003),Comedy
"Other Side of Heaven, The (2001)",Adventure|Drama
X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
"Spanish Apartment, The (L'auberge espagnole) (2002)",Comedy|Drama|Romance
Finding Nemo (2003),Adventure|Animation|Children|Comedy
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
Seabiscuit (2003),Drama
Lost in Translation (2003),Comedy|Drama|Romance
Secondhand Lions (2003),Children|Comedy|Drama
Runaway Jury (2003),Drama|Thriller
Master and Commander: The Far Side of the World (2003),Adventure|Drama|War
"Barbarian Invasions, The (Les invasions barbares) (2003)",Comedy|Crime|Drama|Mystery|Romance
Kindergarten Cop (1990),Action|Comedy|Crime|Thriller
"Last Boy Scout, The (1991)",Action|Comedy|Crime|Drama|Thriller
"Court Jester, The (1956)",Adventure|Comedy|Musical
Hero (Ying xiong) (2002),Action|Adventure|Drama
"Last Samurai, The (2003)",Action|Adventure|Drama|War
"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
Cold Mountain (2003),Drama|Romance|War
"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",Comedy
"Strada, La (1954)",Drama
"Passion of the Christ, The (2004)",Drama
"Good bye, Lenin! (2003)",Comedy|Drama
Persona (1966),Drama
Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
Noi the Albino (Nói albinói) (2003),Drama
"Ten Commandments, The (1956)",Adventure|Drama
School Ties (1992),Drama
"Virgin Spring, The (Jungfrukällan) (1960)",Crime|Drama
"Silence, The (Tystnaden) (1963)",Drama
Winter Light (Nattvardsgästerna) (1963),Drama
Through a Glass Darkly (Såsom i en spegel) (1961),Drama
The Magician (1958),Drama
"Power of One, The (1992)",Drama
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
"Dolce Vita, La (1960)",Drama
Dolls (2002),Drama|Romance
Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
Hour of the Wolf (Vargtimmen) (1968),Drama|Horror
Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
"Bourne Supremacy, The (2004)",Action|Crime|Thriller
"Miracle of Marcelino, The (Marcelino pan y vino) (1955)",Comedy|Drama
Swann in Love (Un amour de Swann) (1984),Drama
Port of Shadows (Quai des brumes) (1938),Drama
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama
Ray (2004),Drama
"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
Finding Neverland (2004),Drama
Bad Education (La mala educación) (2004),Drama|Thriller
Taxi 2 (2000),Action|Comedy
2046 (2004),Drama|Fantasy|Romance|Sci-Fi
"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",Drama|Mystery|Romance|War
"Interpreter, The (2005)",Drama|Thriller
Hotel Rwanda (2004),Drama|War
"Love Song for Bobby Long, A (2004)",Drama
"Three Musketeers, The (1973)",Action|Adventure|Comedy
5x2 (2004),Drama|Romance
Look at Me (Comme une image) (2004),Comedy|Drama|Romance
Crash (2004),Crime|Drama
Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
Cinderella Man (2005),Drama|Romance
Batman Begins (2005),Action|Crime|IMAX
Wedding Crashers (2005),Comedy|Romance
"40-Year-Old Virgin, The (2005)",Comedy|Romance
Proof (2005),Drama
Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX
